,text,highest_score_label
24,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 DIGIT 年月日 PLACE PLACE ca0 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 PLACE 航空,冒充熟人
25,尊敬 的 NAME 旅客 您好 由于 受到 空域 影响 您 所 乘坐 的 l99 PLACE PLACE 航班 已 取消 为了 不 耽误 您 的 行程 请 您 联系 客服 DIGIT CELLPHONE 办理 退 改签 办理 退 改签 成功 之后 会 获得 DIGIT 元 航班 延误 补偿金 给 您 带来 不便 请 您 谅解 NAME NAME 航空,奖励
26,NAME 您好 很 抱歉 通知 您 乘坐 的 航班 gsPHONE 年月日 PLACE PLACE 该 航班 因 机械故障 已 被 取消 请 联系 客服 DIGIT CELLPHONE 办理 改签 或 退票 改签 或 退票 都 可 获得 DIGIT 赔偿 给 你 带来 不便 敬请 谅解 PLACE 航空,奖励
27,尊敬 的 NAME 旅客 您 预订 月 DIGIT 日 航班号 gs 大连 PLACE 航班 因 机械故障 无法 正常 起飞 请 及时 联系 客服 DIGIT CELLPHONE 办理 退 改票 业务 以免 耽误 您 的 行程 注退 改票 补偿 误机 费 DIGIT PLACE 航空,冒充熟人
28,尊敬 的 NAME 旅客 您好 由于 受到 空域 影响 您 所 乘坐 的 hu 包头 NAME 航班 已 取消 为了 不 耽误 您 的 行程 请 您 联系 客服 DIGIT CELLPHONE 办理 退 改签 办理 退 改签 成功 之后 会 获得 DIGIT 元 航班 延误 补偿金 给 您 带来 不便 请 您 谅解 PLACE 航空,冒充熟人
29,尊敬 的 NAME NAME 旅客 您好 抱歉 的 通知 您 预订 DIGIT 年 月 DIGIT 日 PLACE PLACE ca0 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 PLACE 航空,冒充熟人
30,尊敬 的 NAME 旅客 您 预订 月 日 jd PLACE PLACE 航班 因 机械故障 无法 正常 起飞 请 及时 联系 客服 PHONE 办理 退 改票 业务 以免 耽误 您 的 行程 注退 改票 补偿 误机 费 DIGIT 首都 航空,冒充熟人
31,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 DIGIT 年月日 PLACE PLACE zh9 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 PLACE 航空,冒充熟人
32,尊敬 的 NAME 旅客 您 预订 月 日 航班号 jd0 PLACE PLACE 航班 因 机械故障 无法 正常 起飞 请 及时 联系 客服 DIGIT CELLPHONE 办理 退 改票 业务 以免 耽误 您 的 行程 注退 改票 补偿 误机 费 DIGIT 首都 航空,冒充熟人
33,尊敬 的 NAME 旅客 您好 您 乘坐 月 日 起飞 到达 gs0 PLACE NAME 航班 因 机械故障 已 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 业务 注 办理 改签 退票 每位 旅客 补偿 DIGIT 元误 机费 如有 不变 敬请 谅解 PLACE 航空,冒充熟人
34,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 l90 海口 PLACE 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT NAME 航空,冒充熟人
35,尊敬 的 NAME 您好 您 乘坐 的 月 日 gs 航班 因 机械故障 已 被 取消 请 及时 联系 您 的 客服 专员 DIGIT CELLPHONE 办理 退票 或 改 签注 改签 需 补交 DIGIT 元 手续费 另外 每位 旅客 补偿 DIGIT 元 延误 NAME PLACE 航空,奖励
36,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 DIGIT 年月日 海口 PLACE gt0 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 NAME 航空,冒充熟人
37,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 月 日 jd 海口 PLACE 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 或 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元,冒充熟人
38,尊敬 的 NAME 旅客 您好 由于 受到 空域 影响 您 所 乘坐 的 月 DIGIT 日 起飞 DIGIT 到达 gt0 PLACE NAME 航班 已 取消 为了 不 耽误 您 的 行程 请 您 联系 客服 DIGIT CELLPHONE 办理 退 改签 办理 退 改签 成功 之后 会 获得 DIGIT 元 航班 延误 补偿金 给 您 带来 不便 请 您 谅解 NAME 航空,奖励
39,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 PLACE PLACE gx9 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 中国民航,冒充熟人
40,尊敬 的 NAME 旅客 您 预订 月 日 航班号 mu99 航程 PLACE PLACE PLACE 由于 航班 起落架 系统 出现 故障 因故 不能 正常 起飞 请 与 客服 DIGIT CELLPHONE 联系 改签 退票 每位 旅客 将 补偿 DIGIT 元 的 航班 延误 费 改签 需 收取 DIGIT 元 工本费 东方航空,冒充熟人
41,尊敬 的 NAME 旅客 您好 抱歉 的 通知 您 预订 DIGIT 年月日 PLACE PLACE zh9 次 航班 因 机械故障 航班 已 被 取消 请 及时 联系 客服 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 PLACE 航空,冒充熟人
42,尊敬 的 NAME chd 旅客 您好 由于 受到 空域 影响 您 所 乘坐 的 月 日 jd 航班 已 取消 为了 不 耽误 您 的 行程 请 您 联系 客服 DIGIT CELLPHONE 办理 退 改签 办理 退 改签 成功 之后 将 获得 DIGIT 元 航班 延误 补偿金 给 您 带来 不便 请 您 谅解 首都 航空,冒充熟人
43,尊敬 的 NAME 旅客 您好 很 抱歉 的 通知 您 预定 的 DIGIT 月 日 jd 的 航班 因 机械故障 已 被 取消 请 及时 联系 您 的 客服 DIGIT CELLPHONE 办理 改签 退票 注 改签 需 缴纳 DIGIT 元 手续费 每位 旅客 补偿 DIGIT 元 延误 NAME PLACE 航空,冒充熟人
44,通知 NAME 旅客 您好 您 所 乘坐 的 月 日 PLACE PLACE mu9 航班 由于 导航系统 维护 已 被 停飞 为了 不 耽误 您 的 行程 请 联系 客服 DIGIT CELLPHONE 办理 退 改签 办理 退 改签 成功 后 会 获得 DIGIT 元 航班 延误 补偿费 给 您 带来 不便 请 您 谅解 东方航空,奖励
45,尊敬 的 NAME 旅客 您好 由于 航班 故障 您 所 乘坐 的 PLACE PLACE 航班 已 取消 为了 不 耽误 您 的 行程 请 联系 客服 DIGIT CELLPHONE 办理 退改 签注 航班 取消 将 为 每位 旅客 补偿 航班 延误 NAME DIGIT 元 给 您 带来 不便 请 您 谅解 NAME 航空,冒充权威机构
46,尊敬 的 旅客 您好 您 的 月 日 海口 PLACE DIGIT 起飞 到达 DIGIT h0 航班 因 起落架 故障 已 取消 请 联系 客服 DIGIT CELLPHONE 注 改签 不 收取 任何 费用 另 每位 旅客 获得 DIGIT 元 航班 延误 补偿费,奖励
47,尊敬 的 旅客 NAME 玲玲 您好 您 乘坐 DIGIT 月 DIGIT 日 u9 PLACE 至 上海浦东国际机场 DIGIT DIGIT 班次 航班 因 起落架 故障 已 取消 为 避免 耽误 行程 川航 总部 匹配 专属 客服 DIGIT CELLPHONE 请 即时 联系 办理 改签 或 退票 注 民航 规定 改签 跟 退票 成功 后 补偿 乘客 DIGIT 元 给 您 带来 不便 敬请 谅解 PLACE 航空,冒充权威机构
48,东方航空 尊敬 的 旅客 NAME 您好 您 预订 的 月 日 PLACE PLACE mu 本次 航班 不能 起飞 已 被 取消 请 及时 致电 客服 DIGIT CELLPHONE 办理 改期 或 退订 给 您 带来 不便 敬请 谅解 注 改期 或 退订 补偿 误机 费 DIGIT 元,奖励
49,尊敬 的 NAME 旅客 您 乘坐 的 DIGIT 年月日 hu PLACE PLACE 航班 因 空域 限制 已 取消 请 即时 联系 专属 客服 DIGIT CELLPHONE 办理 改签 或 退票 给 您 带来 不便 敬请 谅解 注 民航 规定 改签 跟 退票 成功 后 补偿 乘客 DIGIT 元 延误 费 PLACE 航空,冒充熟人
50,尊敬 的 NAME 旅客 您好 抱歉 通知 您 预订 DIGIT 月 日 PLACE PLACE PLACE mu99 次 航班 因 机械故障 已 被 取消 请 及时 联系 DIGIT CELLPHONE 办理 改签 退票 给 您 带来 不便 敬请 谅解 注退 改签 免费 办理 每位 旅客 补偿 DIGIT 元 东方航空,冒充熟人
51,尊敬 的 NAME 旅客 您好 很 抱歉 的 通知 您 乘坐 本次 航班 hu PLACE PLACE 因 空域 影响 已 被 取消 请 及时 致电 客服 DIGIT CELLPHONE 办理 改签 或 退订 给 您 带来 不便 敬请 谅解 注 改签 成功 后 由 民航 赔付 航班 延误 险 补偿 DIGIT 元 rmb PLACE 航空,冒充熟人
52,PLACE 航空 尊敬 的 NAME 旅客 您好 您 的 月 日 DIGIT 起飞 DIGIT 到达 PLACE PLACE DIGIT h 航班 因 起落架 故障 问题 已 取消 改签 或 退票 请 与 客服 联系 DIGIT CELLPHONE 注 改签 不 收取 任何 费用,冒充熟人
53,尊敬 的 NAME 您好 您 已 获得 NAME oooo 元 联系 NAME CELLPHONE,冒充熟人
54,您好 您 的 手机号码 已 被 PLACE 好 声音 栏目组 抽选 为 二等奖 用户 获得 奖金 万元 与 苹果电脑 一台 请 登陆 官网 URL 领取,奖励
55,奔跑 吧 兄弟 抽选 您 爲 場 外 NAME 誉 者 NAME 萬 和 电 脳 一台 用 DIGIT 到 URL 査 领 填写 真实 信息 方便 送达,冒充熟人
56,您 已 获得 女子 声音 互动 NAME oooo 元 与 笔记本 一台 詳入 URL 査 看 領 取 碼 有效期 小 時,奖励
57,您 已 被 喯 跑 吧 兄 弚 抽选 为 場外 幸运 观众 將 得 DIGIT 与 苹果 笔紀 本部 詳 請 打开 URL 进入 領取 領取 碼 DIGIT,奖励
58,您 已 被 PLACE 新 歌声 抽选 爲 場 外 NAME 众将 得到 oooo 与 笔記 本台 請入 URL 査 取 登 入 数字 DIGIT,奖励
59,亲 您好 您 被选为 淘宝 今日 之 星 获 淘宝网 赞助 的 DIGIT 元 及 macbook 请 上 URL 认领 码 DIGIT,奖励
60,你好 恭贺 你 被 奔跑 吧 兄弟 选 为 活动 号 将 得到 十八万 与 笔记本 一台 详进 URL 校验,奖励
61,DIGIT 您 被 奔 一 跑 一 兄 一弟 选为 本期 幸运 观众 得 l0000 与 笔纪 本 一部 用 DIGIT 到 URL 查收 个 工作 曰 內 有效,奖励
62,恭喜 亲 第五 NAME 跑 吧 栏目 选 您 为 场外 NAME 星 将 获 万 与 电脑 一台 进入 URL 查领 数,奖励
63,您 有 新 声音 提供 的 oooo 元 和 电脑 未领 请进 URL 输入 验收,奖励
64,你 是 我 硪 们 奔 一 跑 一 兄 一弟 幸運 之 星 得 十八 萬 和 笔记本 台 手机 戳 URL 檢驗 碼 DIGIT 写入 资料 方便 送達,奖励
65,您 已 被 PLACE 新 歌声 抽选 爲 場 外 最佳 覌 众 將 得到 DIGIT 与 笔記 本台 請進 URL 査 取 登 入 碼,奖励
66,恭喜 你 的 手机号 已 被 爸爸 一 去 哪儿 评为 今日 二等奖 将 获 万 和 笔记本 逾期 不再 受理 验证码 登录 URL,奖励
67,恭喜 你 已 被 cctv 出彩 PLACE 人 栏目 后台 系统 抽到 已 获得 奖金 DIGIT 万元 及 苹果电脑 一台 请 登陆 URL 查收 验收 码 DIGIT,奖励
68,你 昰 我们 奔 一 跑 一 吧 一 兄 一 弟場 外 幸運 之 星 得 十八 萬 和 筆纪 本台 詳进 URL 验 証 碼,奖励
69,恭贺 您 已 成为 奔跑 吧 兄弟 场外 NAME 得到 DIGIT 及 苹果 笔记本电脑 壹台 请 点击 URL 查領 验证码 DIGIT,奖励
70,您 已 被 PLACE 新 歌声 抽选 为 場外 NAME 众将 得到 oooo 与 笔記 本台 請到 URL 査 取 登 入 数字,奖励
71,您 已 被 选中 可領 取 oooo 元 与 电腦 一部 請进 URL 输入 验收,奖励
72,您 已 被 选中 可領 取 oooo 元 与 电腦 一部 請进 URL 输入 验收,奖励
73,PLACE 新 歌声 抽选 您 为 场外 NAME 将 送 你 i 万 和 笔記 本部 请用 数 进入 URL 査 取,奖励
74,亲 恭喜 您 在 PLACE 网 购物 时 被 抽选 为 二等 用户 获 万元 及 苹果 笔记本 请登入 URL 查收 验证码 DIGIT,奖励
75,跑 一 男 一节 一目 一组 指定 你 为 本季 互动 者 得 l0000 与 笔 記本 一部 用 DIGIT 到 URL 査 看 小时 內 有效,奖励
76,你 被 奔 一 跑 一 兄 一弟 定为 本季 互动 者 得 l0000 与 筆 記本 一部 用 DIGIT 到 URL 査 取 小时 內 有效,冒充熟人
77,NAME 您 你 已 被 阿里巴巴 抽选 为 十二 周年 PLACE 用户 请 及时 到 URL 查看 领取 您 的 验证码 为 DIGIT,奖励
78,您 已 获得 淘宝 ioooo 元 幸运 PLACE 笔纪 本台 詳点 URL 査 看 确认码 时效 期 小 時 请 确认,奖励
79,您 已 被 新 歌声 第五 季 选中 爲 場 外 幸运 用户 將 得 DIGIT 和 苹果 笔記 本台 请 打开 URL 进入 領取 验 証 碼,奖励
80,您 已 被 PLACE 新 歌声 第五 季 抽选 為 場外 幸运 覌 众 將 得 DIGIT 和 苹果 笔記 本台 请 打开 URL 进入 領取 領取 碼 DIGIT,奖励
81,恭喜 您 的 手机号码 已 被 好 声音 栏目组 抽选 为 二等奖 请 登录 URL 查询 奖品 验证码 DIGIT 第三季,奖励
82,跑 吧 已 抽选 您 为 场外 NAME 获得 DIGIT 与 电脑台 进 URL 查看 查验 码,冒充熟人
83,汇源 公司 农行 户名 NAME 卡号 BANK,奖励
84,DIGIT 和 DIGIT 一共 微信 转账 房租 给 我 元,奖励
85,NAME 新号 CELLPHONE,冒充熟人
86,NAME DIGIT CELLPHONE,冒充权威机构
87,BANK 建行 NAME 建华,冒充熟人
88,农行 卡 NAME BANK 金额 元,冒充权威机构
89,农行 NAME BANK 这 是 我 老婆 的 卡号,冒充熟人
90,农行 NAME 风岗 BANK,冒充权威机构
91,这 是 我 的 新 号码 CELLPHONE 老 号码 还 会 用 一段时间,冒充熟人
92,PLACE 农村信用 合作 联社 BANK NAME,冒充权威机构
93,农行 卡 NAME BANK 货款 一共 是 六千元 NAME,冒充权威机构
94,wwwddrdcom,冒充权威机构
95,web0000 DIGIT DIGIT,冒充权威机构
96,NAME 铝材 信合卡 BANK NAME NAME,冒充熟人
97,DIGIT NAME 农村 信用社,冒充权威机构
98,农行 BANK NAME 文龙,冒充熟人
99,农行 BANK NAME 建恒,冒充熟人
100,atamyngkynmueyqpkoyalaeyrm,冒充熟人
101,信用社 NAME BANK,冒充权威机构
102,pleasecallmeback,冒充熟人
103,NAME 农行 大厂 支行 BANK,冒充熟人
104,DIGIT mb,紧迫
105,信用社 NAME BANK,冒充权威机构
106,随车 汽吊 NAME 建行 BANK PLACE 到 PLACE 一车 DIGIT 元,冒充权威机构
107,公司财务 农行 账号 BANK NAME 收到 请 回复,冒充熟人
108,DIGIT mb,紧迫
109,农卡 NAME 卡号 BANK,冒充权威机构
110,DIGIT mb,紧迫
111,PLACE 农行 PLACE 分理处 BANK NAME 喜 运费,奖励
112,URL,冒充权威机构
113,DIGIT mb,紧迫
114,NAME BANK 支行 招商银行 PLACE NAME 支行,冒充权威机构
115,中行 PLACE 支行 NAME NAME BANK,冒充权威机构
116,信用社 NAME BANK,冒充权威机构
117,twfduihjffffffhj,紧迫
118,NAME 有 急事 找 你 麻烦 添加 下 我 WECHAT,紧迫
119,DIGIT mb,紧迫
120,URL,冒充权威机构
121,URL,冒充权威机构
122,信用社 NAME BANK,冒充权威机构
123,BANK 姓名 NAME 元,冒充权威机构
124,PLACE NAME 请 查阅 关于 您 福睿斯 的 信息 URL,奖励
125,建行 帐号 BANK 姓名 NAME NAME 现金 DIGIT 元 謝謝,奖励
126,okip900,冒充熟人
127,这 我 新 号码 NAME,冒充熟人
128,HOTLINE99 建行 NAME,冒充权威机构
129,BANK 核对 了 没错,奖励
130,这 是 我 的 新号 元旦 快乐 PLACE,奖励
131,HOTLINE 工商银行,紧迫
132,NAME BANK 邮政储蓄 银行,冒充权威机构
133,老板娘 留 两只 鸡 一只 鸭 鸭 砍 好 一副 鸡壳 和 鸡油 换 新 号码 了,奖励
134,NAME PLACE 号 BANK,冒充权威机构
135,NAME DIGIT CELLPHONE,冒充权威机构
136,班主任 我 是 NAME 这 是 我 新 号码 存 着 以后 找 我 打 这个 以前 那个 没用 了,冒充熟人
137,NAME BANK 邮政储蓄 卡,冒充权威机构
138,f0df0ff0,紧迫
139,家 人们 我 换 号 了 CELLPHONE 冬冬,冒充熟人
140,所欠 金额 DIGIT 元 帐号 BANK 姓名 NAME 自力,冒充熟人
141,瞧 NAME 看看 我们 之前 的 精彩 影集 URL,冒充熟人
142,县委 NAME 主任 看看 我们 之前 的 精彩 影集 URL,冒充权威机构
143,NAME 看看 我们 之前 的 精彩 影集 URL,冒充熟人
144,电脑 NAME 瞧下 这段 录 z 相 URLpkfq,冒充熟人
145,啊 家 我 实在 不想 说 了 你 自己 看看 完 这 相册 吧 URL,冒充熟人
146,四辈 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
147,供电 抢修 看看 我们 之前 的 精彩 影集 URL,奖励
148,供电所 老宋 看看 我们 之前 的 精彩 影集 URL,奖励
149,会 英 这 NAME 你 qiao 瞧 URLpkfq,冒充熟人
150,NAME PLACE 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
151,NAME PLACE 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
152,NAME 这 NAME 你 qiao 瞧 URLlxji,冒充熟人
153,NAME PLACE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
154,PLACE 鱼店 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
155,屏边 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
156,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
157,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
158,PLACE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
159,PLACE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
160,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
161,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
162,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
163,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
164,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
165,PLACE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
166,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
167,PLACE 民 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
168,PLACE 拉货 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
169,伟人 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
170,商曲 也 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
171,PLACE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
172,NAME 真诚 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
173,PLACE 罗 眼镜 这 NAME 你 qiao 瞧 URLlxji,冒充熟人
174,NAME 电 这 是 我们 难忘 的 美好 瞬间 URL 请 PLACE 好 哦,奖励
175,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
176,修车 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
177,派出所 NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
178,NAME 新人 看看 我们 之前 的 精彩 影集 URL,冒充熟人
179,韭 信用卡 这 NAME 你 qiao 瞧 URLxigty,冒充熟人
180,骈凯我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
181,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
182,NAME 高温 这 NAME 你 qiao 瞧 URLrdgt,紧迫
183,洞口 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
184,NAME 彩霞 看看 我们 之前 的 精彩 影集 URL,冒充熟人
185,NAME 工会 主 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
186,NAME PLACE 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
187,NAME 新年快乐 我 给 你 录 了 视频 你 看下 URLs,冒充熟人
188,NAME 都 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
189,爱花 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
190,二妈 hq 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
191,NAME 满意 给你个 影 k 像 瞧 下 URLfdrtde,奖励
192,铁屑 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
193,NAME PLACE 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
194,狼狗 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
195,NAME 兵 看看 这 录像 URLbxlx,冒充熟人
196,比 古里 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
197,NAME 彩虹 看看 我们 之前 的 精彩 影集 URL,冒充熟人
198,冬义 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
199,PLACE 民丰 米业 NAME 海峰 都 上 新闻 了 你 自己 看吧 URLrqtlgnh,冒充权威机构
200,情难 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
201,w 思雨 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
202,NAME 革新 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
203,NAME 建成 这 是 我们 美好 的 留念 照 URL 请 务必 PLACE 好,奖励
204,黄 司机 着视 i 聘 你 侃侃 URLkhyt,奖励
205,NAME 和平 我们 的 聚会 相册 上 传到 这里 了望 您 保存 PLACE URLsksh,冒充熟人
206,飞宏 师八 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
207,NAME 可 这 是 我们 之前 聚会 上 的 相册 望 您 保存起来 URLdkj9,冒充熟人
208,启央 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
209,建卫 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
210,奇瑞 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
211,NAME PLACE PLACE 进去 看下 这 是 谁 URLrgbor NAME,冒充权威机构
212,NAME 争气 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
213,NAME 工 PLACE 看看 我们 之前 的 精彩 影集 URL,冒充熟人
214,黄花 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
215,NAME PLACE 同学 这 是 我们 班 聚会 的 相测 和 通讯录 URL 请 保存 方便 日后 联系,冒充熟人
216,小苗 我 给 你 录 了 锻 录像 你 看下 URLmun,奖励
217,接电 NAME 看看 我们 之前 的 精彩 影集 URL,冒充熟人
218,NAME PLACE 同学 这 是 我们 班 聚会 的 相测 和 通讯录 URL 请 保存 方便 日后 联系,冒充熟人
219,林局 国税 看看 我们 之前 的 精彩 影集 URL,奖励
220,NAME PLACE 老同学 好 这 是 URL 班里 整理 好 的 集体 纪念 栅 和 联系 录 你 保存 一下 方便 日后 联系 祝 生活 愉快,冒充熟人
221,NAME PLACE 老同学 好 这 是 URL 我们 NAME 做好 的 集体 纪念 栅 和 联系 录 你 保存 一下 方便 日后 联系 愿 同学 情谊 天长地久,冒充熟人
222,NAME 这 NAME 你 qiao 瞧 URLlihxg,冒充熟人
223,NAME 你 瞧 x 瞧 这个 NAME l 相 URLkijh,冒充熟人
224,NAME 你 看 这 是 谁 URLnk,冒充熟人
225,NAME PLACE 同学 这 是 我们 班 聚会 的 相测 和 通讯录 URL 请 保存 方便 日后 联系,冒充熟人
226,猴子 这 NAME 你 qiao 瞧 URLxigty,冒充权威机构
227,NAME NAME 自己 瞧瞧 URLrjice,冒充熟人
228,NAME 家属 班 看看 我们 之前 的 精彩 影集 URL,冒充熟人
229,女神 红 这 是 怎么回事 URL 你 打开 自己 看,冒充权威机构
230,多儿 看看 我们 之前 的 精彩 影集 URL,奖励
231,沙墙 刘 看看 我们 之前 的 精彩 影集 URL,冒充权威机构
232,NAME 这 NAME 你 qiao 瞧 URLrdgt,冒充熟人
233,尊敬 的 NAME 旅客 您 乘坐 月 日 mu99 PLACE 大连 由于 飞机 起落架 故障 已 被 取消 请 及时 联系 专属 客服 DIGIT CELLPHONE 办理 改签 或 退票 给 您 带来 不便 请谅解 注 改签 退票 免费 额外 补偿 每位 旅客 DIGIT 元 航班 延误 补偿金 东方航空,奖励
